headline,f1,f2,f3
"Temos um espaço muito menor para errar, diz Funchal sobre trajetória da dívida pública","O Brasil enfrenta um cenário fiscal delicado, com uma dívida pública de 76,1% do PIB e riscos de aceleração, devido ao crescimento automático das despesas e à credibilidade fiscal debilitada.","Segundo Bruno Funchal, o país precisa de um superávit primário entre 1,5% e 2% do PIB para estabilizar a dívida, mas o atual arcabouço fiscal permite gastos que dificultam esse objetivo.","O cenário econômico de 2025 deve ser marcado por inflação moderada, crescimento limitado e incertezas políticas, especialmente em função do ciclo eleitoral e das políticas fiscais adotadas pelo governo."
"Isenção de IR para quem ganha até R$ 5 mil recairá sobre grandes empresas, diz Rodrigo Maia","Rodrigo Maia, ex-presidente da Câmara e atual presidente da CNF, destaca a importância de reformas tributárias e de segurança jurídica para o setor financeiro e a economia brasileira.","Ele alerta para resistências no Congresso às propostas de tributação de grandes empresas e à isenção do Imposto de Renda para quem ganha até R$ 5.000, ressaltando os riscos de distorções e privilégios.","Maia defende um desenho institucional que promova segurança, equilíbrio fiscal e investimentos, evitando benefícios regressivos e aumento da judicialização."
A crescente força das gerações prateadas no Brasil,"O Brasil está passando por uma rápida mudança na sua estrutura etária, com a população de 50 anos ou mais crescendo exponencialmente e se tornando maioria até o final do século XXI.","Essa transformação demográfica impulsionará a economia prateada, que envolve a participação ativa de pessoas maduras no mercado de trabalho, inovação e consumo, além de promover maior intergeracionalidade e envelhecimento saudável.","Como consequência, o país poderá aproveitar novos bônus demográficos, fortalecendo o desenvolvimento socioeconômico e o bem-estar de toda a sociedade."
"Haddad diz que consignado privado pelo eSocial terá juro ""menos da metade"" do que se paga hoje","O ministro da Fazenda, Fernando Haddad, anunciou que mudanças no crédito consignado privado devem reduzir os juros para menos da metade do valor atual, com a implementação do consignado no eSocial.","Ele destacou que essa medida pode impulsionar o PIB e fortalecer a economia, além de ser uma questão estrutural, não apenas relacionada à taxa Selic.","Haddad também afirmou que a reforma tributária busca equilibrar a isenção do Imposto de Renda para trabalhadores de até R$ 5.000, por meio de uma maior contribuição de quem não paga impostos, especialmente os mais ricos."
"Desafio não vai ser isentar, vai ser compensar com quem não paga, diz Haddad, sobre isenção de IR","O ministro da Fazenda, Fernando Haddad, afirmou que o desafio da reforma tributária é compensar a isenção do Imposto de Renda para trabalhadores com salários de até R$ 5.000, por meio da tributação de quem atualmente não paga impostos.","Ele destacou que a proposta busca tornar o sistema mais digital, transparente e progressista, com devolução de impostos a beneficiários de programas sociais e maior contribuição de setores privilegiados.","Haddad ressaltou que a intenção é inverter a lógica atual, na qual a população de baixa renda sustenta o Estado, fazendo com que quem não paga impostos passe a contribuir mais."
Dino intima governo a explicar se emendas Pix para eventos cumprem regras de transparência,"O ministro Flávio Dino, do STF, intimou três ministérios para esclarecerem se estão cumprindo os critérios de transparência nas transferências especiais, como as emendas Pix.","Dino também determinou que estados e municípios regularizem as contas para o recebimento dessas emendas em até 30 dias, buscando maior rastreabilidade e transparência no uso dos recursos.",A medida faz parte de ações do STF que questionam a transparência das emendas parlamentares e visa garantir o uso adequado dos recursos públicos.
"Governo deverá bloquear R$ 18,6 bilhões no Orçamento de 2025 para cumprir regras fiscais, diz Senado","O governo Lula precisará bloquear R$ 18,6 bilhões do Orçamento de 2025 para cumprir as regras fiscais, conforme projeções da IFI, que estima um déficit de R$ 71 bilhões para o ano.","O relatório aponta que, excluindo gastos com precatórios e despesas não executadas, o saldo negativo ficará dentro do limite permitido, mas alerta para o risco de inflação ultrapassar a meta em 2025.","Além disso, programas como o Pé-de-Meia e fundos fora do orçamento totalizarão R$ 20,5 bilhões em gastos primários, aumentando as complexidades na gestão fiscal do próximo ano."
"Investimento estrangeiro direto na China cai, mas ritmo de queda desacelera","O investimento estrangeiro direto na China em janeiro de 2024 apresentou uma queda de 13,4% em relação ao mesmo período do ano anterior, totalizando 97,6 bilhões de yuans, embora tenha crescido 27,5% em relação a dezembro de 2023.","Apesar do cenário externo desafiador, com conflitos geopolíticos e protecionismo, os fundamentos econômicos de longo prazo do país permanecem sólidos, e setores de alta tecnologia registraram aumento no FDI.","Empresas estrangeiras continuam confiantes no mercado chinês, com a maioria planejando manter ou ampliar seus investimentos nos próximos anos, mesmo diante das dificuldades atuais."
Novos ares no Centro de SP? Região ganha 25 mil novas empresas e prevê criação de 38 mil empregos,"O Centro de São Paulo, marcado por degradação social e econômica, tem recebido investimentos e ações de revitalização, incluindo a transferência da sede administrativa do governo estadual para os Campos Elíseos, com previsão de criação de 38 mil empregos e investimento de R$ 4,7 bilhões.","Paralelamente, a região registra um crescimento de 22,3% no número de empresas ativas entre 2021 e 2024, impulsionado por programas de incentivo fiscal e melhorias na segurança urbana.","Esse movimento de retomada econômica e empresarial reforça a expectativa de transformação da área, que busca atrair investimentos e requalificar seu perfil social e econômico."
"Dieese: 88,2% dos reajustes salariais em janeiro tiveram ganhos acima da inflação","A análise dos reajustes salariais de janeiro de 2025 revela um aumento significativo no percentual de categorias com ganhos reais acima da inflação, impulsionado principalmente pela valorização do salário mínimo.","Todos os setores analisados apresentaram reajustes acima do INPC em mais de 80% dos casos, com destaque para os setores de serviços e rural, que tiveram ganhos reais de 91,6% e 87,5%, respectivamente.","Apesar disso, há uma presença considerável de reajustes abaixo do INPC em quase todos os segmentos, refletindo a complexidade das negociações salariais no período."
